POS,Name,OVR,CType,CYear,CTM,CON/STU,POW/MOV,EYE/CON,FLD/STA,L10,SELL,MC,St,Act/Deact,QS,Sell
RF,Gregory Polanco,67,Snapshot,2016,Pittsburgh Pirates,62,75,70,95,74,0,0,Inactive,Activate,QS 25,Sell
RP,Colin Poche,73,2024 MLB,2024,Tampa Bay Rays,97,74,75,15,313,0,2,Reserve,Deactivate,QS 100,Sell
3B,Trevor Plouffe,48,Snapshot,2013,Minnesota Twins,63,75,68,37,26,0,0,Inactive,Activate,QS 5,Sell
3B,Trevor Plouffe,48,Snapshot,2013,Minnesota Twins,63,75,68,37,26,0,0,Inactive,Activate,QS 5,Sell
SP,Zach Plesac,65,2024 MLB,2024,Los Angeles Angels,66,73,84,60,69,0,2,Inactive,Activate,Locked,
LF,Juan Pierre,69,Snapshot,2012,Philadelphia Phillies,96,9,60,61,70,0,0,Inactive,Activate,QS 25,Sell
RF,Ollie Pickering,46,UnH,1907,St. Louis Browns,72,26,54,55,24,0,0,Inactive,Activate,QS 5,Sell
SP,Hipolito Pichardo,49,RS,1992,Kansas City Royals,37,78,63,57,52,0,0,Inactive,Activate,QS 5,Sell
SP,Tom Phoebus,63,Snapshot,1968,Baltimore Orioles,73,87,30,78,72,0,0,Inactive,Activate,QS 25,Sell
SP,Taylor Phillips,44,UnH,1958,Chicago Cubs,63,67,53,60,19,0,0,Inactive,Activate,QS 5,Sell
CL,Evan Phillips,93,2024 MLB,2024,Los Angeles Dodgers,100,80,90,19,9 443,0,2,Active,Deactivate,QS 4 000,Sell
CF,Brett Phillips,46,2024 MLB,2024,Chicago White Sox,53,68,88,98,9,0,2,Inactive,Activate,Locked,
SP,Brandon Pfaadt,63,2024 MLB,2024,Arizona Diamondbacks,71,69,89,52,55,0,2,Inactive,Activate,Locked,
SP,Mark Petkovsek,55,Snapshot,1996,St. Louis Cardinals,37,86,58,54,78,0,0,Inactive,Activate,QS 5,Sell
3B,Jace Peterson,59,2024 MLB,2024,Arizona Diamondbacks,64,39,80,66,11,0,2,Inactive,Activate,Locked,
SP,Scott Perry,51,UnH,1920,Philadelphia Athletics,52,63,83,88,17,0,0,Inactive,Activate,QS 5,Sell
LF,Blake Perkins,61,2024 MLB,2024,Milwaukee Brewers,60,54,85,88,49,0,2,Inactive,Activate,Locked,
1B,Tony Perez,62,All-Star,1976,Cincinnati Reds,57,89,70,84,84,0,0,Inactive,Activate,QS 25,Sell
1B,Tony Perez,62,All-Star,1976,Cincinnati Reds,57,89,70,84,84,0,0,Inactive,Activate,QS 25,Sell
C,Salvador Perez,67,2024 MLB,2024,Kansas City Royals,68,90,52,62,62,0,2,Inactive,Activate,Locked,
SP,Oliver Perez,54,RS,2002,San Diego Padres,104,71,26,63,25,0,0,Inactive,Activate,QS 5,Sell
SP,Martin Perez,74,2024 MLB,2024,Pittsburgh Pirates,69,81,80,77,344,0,2,Reserve,Deactivate,Locked,
SS,Geraldo Perdomo,72,2024 MLB,2024,Arizona Diamondbacks,65,35,95,74,314,0,2,Reserve,Deactivate,Locked,
RP,Wandy Peralta,65,2024 MLB,2024,San Diego Padres,77,78,62,14,49,0,2,Inactive,Activate,Locked,
RP,Sammy Peralta,50,2024 MLB,2024,Chicago White Sox,63,68,78,22,11,0,2,Inactive,Activate,Locked,
RP,Joel Peralta,70,Snapshot,2013,Tampa Bay Rays,87,86,31,11,245,0,0,Inactive,Activate,QS 100,Sell
SS,Jeremy Pena,76,2024 MLB,2024,Houston Astros,68,59,62,82,594,0,2,Reserve,Deactivate,Locked,
SS,Jeremy Pena,70,RS,2022,Houston Astros,62,73,51,83,212,0,0,Inactive,Activate,QS 100,Sell
RP,Elvis Peguero,61,2024 MLB,2024,Milwaukee Brewers,74,72,75,23,48,0,2,Inactive,Activate,Locked,
DH,Joc Pederson,72,2024 MLB,2024,Arizona Diamondbacks,63,87,83,-,340,0,2,Reserve,Deactivate,Locked,
3B,Bill Pecota,64,Snapshot,1991,Kansas City Royals,77,46,69,65,71,0,0,Inactive,Activate,QS 25,Sell
RP,Nate Pearson,53,2024 MLB,2024,Toronto Blue Jays,102,68,55,21,8,0,2,Inactive,Activate,Locked,
RP,Joel Payamps,74,2024 MLB,2024,Milwaukee Brewers,78,73,82,23,862,0,2,Inactive,Activate,Locked,
SP,James Paxton,66,2024 MLB,2024,Los Angeles Dodgers,92,68,78,58,67,0,2,Inactive,Activate,QS 25,Sell
SP,Carl Pavano,58,RS,1998,Montreal Expos,44,77,71,62,17,0,0,Inactive,Activate,QS 5,Sell
SP,Luis Patino,51,2024 MLB,2024,San Diego Padres,69,68,65,54,8,0,2,Inactive,Activate,Locked,
1B,Vinnie Pasquantino,77,2024 MLB,2024,Kansas City Royals,78,79,76,46,390,0,2,Reserve,Deactivate,Locked,
3B,Larry Parrish,76,Peak,1979,Montreal Expos,66,93,74,61,386,0,0,Inactive,Activate,QS 100,Sell
SP,Manny Parra,41,RS,2008,Milwaukee Brewers,70,61,53,58,15,0,0,Inactive,Activate,QS 5,Sell
RP,Jose Paniagua,54,Snapshot,1999,Seattle Mariners,96,77,21,16,82,0,1,Inactive,Activate,Locked,
RP,Jose Paniagua,54,Snapshot,1999,Seattle Mariners,96,77,21,16,82,0,1,Inactive,Activate,QS 5,Sell
3B,Dean Palmer,40,Snapshot,1992,Texas Rangers,48,95,78,47,20,0,0,Inactive,Activate,QS 5,Sell
RF,Josh Palacios,67,2024 MLB,2024,Pittsburgh Pirates,71,64,64,78,63,0,2,Inactive,Activate,Locked,
RP,Phil Paine,52,Snapshot,1958,St. Louis Cardinals,68,73,55,19,17,0,0,Inactive,Activate,QS 5,Sell
LF,Mitchell Page,83,RS,1977,Oakland Athletics,71,77,97,82,1 579,0,0,Inactive,Activate,QS 1 000,Sell
SS,Jose Pagan,49,Snapshot,1962,San Francisco Giants,67,35,62,65,49,0,0,Inactive,Activate,QS 5,Sell
RP,Emilio Pagan,72,2024 MLB,2024,Cincinnati Reds,78,71,79,15,609,0,2,Inactive,Activate,Locked,
SP,Gene Packard,49,UnH,1916,Chicago Cubs,29,76,92,71,17,0,0,Inactive,Activate,QS 5,Sell
1B,Tom Paciorek,63,Snapshot,1983,Chicago White Sox,78,64,55,56,64,0,0,Inactive,Activate,QS 25,Sell
CF,Cristian Pache,63,2024 MLB,2024,Philadelphia Phillies,63,38,76,102,58,0,2,Inactive,Activate,Locked,
3B,Marv Owen,62,UnH,1934,Detroit Tigers,81,65,71,45,62,0,0,Inactive,Activate,QS 25,Sell
SP,Bob Owchinko,43,RS,1977,San Diego Padres,59,61,62,67,24,0,0,Inactive,Activate,QS 5,Sell
SP,Glenn Otto,63,2024 MLB,2024,San Diego Padres,89,71,67,52,44,0,2,Inactive,Activate,Locked,
RP,Adam Ottavino,57,Snapshot,2014,Colorado Rockies,77,59,76,11,21,0,0,Inactive,Activate,QS 5,Sell
SP,Fritz Ostermueller,55,Snapshot,1948,Pittsburgh Pirates,43,68,93,73,23,0,0,Inactive,Activate,QS 5,Sell
SP,Ossie Orwoll,57,RS,1928,Philadelphia Athletics,71,76,45,74,18,0,0,Inactive,Activate,QS 5,Sell
SP,Ossie Orwoll,57,RS,1928,Philadelphia Athletics,71,76,45,74,18,0,0,Inactive,Activate,QS 5,Sell
RP,Luis Ortiz,62,2024 MLB,2024,Philadelphia Phillies,60,72,82,37,49,0,2,Inactive,Activate,Locked,
SP,Luis Ortiz,55,2024 MLB,2024,Pittsburgh Pirates,62,71,70,62,10,0,2,Inactive,Activate,Locked,
SP,Phil Ortega,63,UnH,1966,Washington Senators,56,68,69,72,57,0,0,Inactive,Activate,QS 25,Sell
RP,Oliver Ortega,62,2024 MLB,2024,Houston Astros,80,70,72,23,49,0,2,Inactive,Activate,Locked,
RP,Kaleb Ort,42,2024 MLB,2024,Baltimore Orioles,70,65,61,17,11,0,2,Inactive,Activate,Locked,
CF,Ernie Orsatti,54,Snapshot,1932,St. Louis Cardinals,85,28,49,42,55,0,1,Inactive,Activate,QS 5,Sell
2B,Joe Orengo,50,RS,1940,St. Louis Cardinals,65,65,93,67,42,0,0,Inactive,Activate,QS 5,Sell
3B,Steve Ontiveros,62,Snapshot,1977,Chicago Cubs,77,53,94,38,44,0,0,Inactive,Activate,QS 25,Sell
SS,Ivy Olson,53,UnH,1919,Brooklyn Robins,77,28,54,50,24,0,0,Inactive,Activate,QS 5,Sell
RF,Edward Olivares,72,2024 MLB,2024,Pittsburgh Pirates,78,68,59,64,338,0,2,Inactive,Activate,Locked,
RP,Steven Okert,64,2024 MLB,2024,Minnesota Twins,103,71,70,14,85,0,2,Inactive,Activate,Locked,
SP,Tomo Ohka,48,Snapshot,2004,Montreal Expos,31,74,96,60,57,0,1,Inactive,Activate,QS 5,Sell
SS,Jose Offerman,50,Snapshot,1993,Los Angeles Dodgers,71,16,77,46,47,0,0,Inactive,Activate,QS 5,Sell
SP,Blue Moon Odom,52,Snapshot,1972,Oakland Athletics,42,89,41,74,61,0,0,Inactive,Activate,QS 5,Sell
SP,Bailey Ober,79,2024 MLB,2024,Minnesota Twins,86,67,93,60,366,0,2,Reserve,Deactivate,QS 100,Sell
SP,Bailey Ober,58,RS,2021,Minnesota Twins,62,59,99,53,18,0,0,Inactive,Activate,QS 5,Sell
3B,Tim O'Rourke,52,RS,1890,Syracuse Stars,68,35,74,44,52,0,0,Inactive,Activate,QS 5,Sell
LF,Jim O'Rourke,63,Snapshot,1889,New York Giants,88,49,62,48,77,0,0,Inactive,Activate,QS 25,Sell
LF,Jim O'Rourke,63,Snapshot,1889,New York Giants,88,49,62,48,77,0,0,Inactive,Activate,QS 25,Sell
SP,Tip O'Neill,46,Snapshot,1884,St. Louis Browns,29,86,19,112,131,0,0,Inactive,Activate,QS 5,Sell
SP,Tip O'Neill,46,Snapshot,1884,St. Louis Browns,29,86,19,112,131,0,0,Inactive,Activate,QS 5,Sell
1B,Ryan O'Hearn,60,2024 MLB,2024,Baltimore Orioles,66,86,62,52,69,0,2,Inactive,Activate,Locked,
RP,John O'Donoghue,53,UnH,1969,Seattle Pilots,65,78,41,16,15,0,0,Inactive,Activate,QS 5,Sell
SP,Hank O'Day,40,UnH,1889,Washington Nationals,43,74,51,105,35,0,0,Inactive,Activate,QS 5,Sell
1B,Jack O'Brien,64,UnH,1890,Philadelphia Athletics,62,77,85,45,42,0,0,Inactive,Activate,QS 25,Sell
RP,Howie Nunn,67,RS,1961,Cincinnati Reds,71,95,31,19,55,0,0,Inactive,Activate,QS 25,Sell
RF,Lars Nootbaar,77,2024 MLB,2024,St. Louis Cardinals,64,81,100,68,771,0,2,Reserve,Deactivate,Locked,
C,Austin Nola,61,2024 MLB,2024,Kansas City Royals,66,34,78,53,61,0,2,Inactive,Activate,Locked,
1B,Ryan Noda,69,2024 MLB,2024,Oakland Athletics,63,77,100,67,57,0,2,Inactive,Activate,Locked,
RF,Dave Nilsson,74,Snapshot,1996,Milwaukee Brewers,89,77,75,68,303,0,0,Inactive,Activate,QS 100,Sell
RF,Melvin Nieves,40,Snapshot,1996,Detroit Tigers,52,89,77,58,23,0,0,Inactive,Activate,QS 5,Sell
C,Tomas Nido,51,2024 MLB,2024,New York Mets,64,51,55,86,16,0,2,Inactive,Activate,Locked,
RF,Dave Nicholson,50,Snapshot,1966,Houston Astros,58,77,110,70,25,0,0,Inactive,Activate,QS 5,Sell
SP,Bobo Newsom,58,HaH,1942,Washington Senators,77,61,57,86,17,0,0,Inactive,Activate,QS 5,Sell
SS,Kevin Newman,62,2024 MLB,2024,Arizona Diamondbacks,75,19,58,71,51,0,2,Inactive,Activate,Locked,
3B,Tyler Nevin,61,2024 MLB,2024,Baltimore Orioles,65,60,73,47,62,0,2,Inactive,Activate,Locked,
RP,Hector Neris,77,2024 MLB,2024,Chicago Cubs,98,78,75,15,550,0,2,Inactive,Activate,Locked,
SP,Ryne Nelson,57,2024 MLB,2024,Arizona Diamondbacks,60,69,80,57,12,0,2,Inactive,Activate,Locked,
SP,Nick Nelson,64,2024 MLB,2024,Philadelphia Phillies,70,74,70,53,62,0,2,Inactive,Activate,Locked,
RP,Kyle Nelson,51,2024 MLB,2024,Arizona Diamondbacks,87,66,68,21,9,0,2,Inactive,Activate,Locked,
SP,Jim Neidlinger,86,RS,1990,Los Angeles Dodgers,55,88,93,68,1 591,0,0,Active,Deactivate,QS 1 000,Sell
C,Cal Neeman,54,UnH,1958,Chicago Cubs,49,96,72,64,18,0,0,Inactive,Activate,QS 5,Sell
1B,Josh Naylor,78,2024 MLB,2024,Cleveland Guardians,79,77,67,52,1 294,0,2,Reserve,Deactivate,Locked,
C,Omar Narvaez,70,2024 MLB,2024,New York Mets,69,50,79,70,285,0,2,Reserve,Deactivate,QS 100,Sell
RP,Andrew Nardi,72,2024 MLB,2024,Miami Marlins,105,73,74,23,651,0,2,Reserve,Deactivate,Locked,
SP,Mike Nagy,42,RS,1969,Boston Red Sox,38,92,38,76,25,0,0,Inactive,Activate,QS 5,Sell
CL,Randy Myers,65,All-Star,1994,Chicago Cubs,68,79,59,13,46,0,0,Inactive,Activate,QS 25,Sell
RP,Parker Mushinski,52,2024 MLB,2024,Houston Astros,73,71,70,24,9,0,2,Inactive,Activate,Locked,
1B,Eddie Murray,81,SE,1978,Baltimore Orioles,75,104,78,85,1 311,0,0,Reserve,Deactivate,QS 1 000,Sell
C,Tom Murphy,73,2024 MLB,2024,San Francisco Giants,75,79,76,58,573,0,2,Inactive,Activate,Locked,
RP,Chris Murphy,43,2024 MLB,2024,Boston Red Sox,60,67,60,48,8,0,2,Inactive,Activate,Locked,
C,Thurman Munson,74,All-Star,1978,New York Yankees,79,36,52,74,287,0,0,Inactive,Activate,QS 100,Sell
CL,Andres Munoz,84,2024 MLB,2024,Seattle Mariners,131,77,67,15,3 160,0,2,Inactive,Activate,QS 1 000,Sell
SP,Kyle Muller,61,2024 MLB,2024,Oakland Athletics,83,70,68,63,62,0,2,Inactive,Activate,Locked,
2B,Heinie Mueller,52,Snapshot,1939,Philadelphia Phillies,59,74,71,39,17,0,0,Inactive,Activate,QS 5,Sell
SS,Mike Moynahan,74,HaH,1883,Philadelphia Athletics,80,43,85,64,225,0,0,Inactive,Activate,QS 100,Sell
RP,Peter Moylan,50,Snapshot,2010,Atlanta Braves,61,88,25,9,25,0,0,Inactive,Activate,QS 5,Sell
DH,Ryan Mountcastle,64,2024 MLB,2024,Baltimore Orioles,69,79,67,-,69,0,2,Inactive,Activate,Locked,
SP,Charlie Morton,79,2024 MLB,2024,Atlanta Braves,111,80,69,70,1 507,0,2,Active,Deactivate,QS 100,Sell
SP,Jack Morris,72,SE,1985,Detroit Tigers,79,80,69,93,275,0,0,Reserve,Deactivate,QS 100,Sell
RP,Cody Morris,55,2024 MLB,2024,New York Yankees,90,70,57,43,8,0,2,Inactive,Activate,QS 5,Sell
RP,Eli Morgan,68,2024 MLB,2024,Cleveland Guardians,91,67,83,23,45,0,2,Inactive,Activate,Locked,
1B,Ed Morgan,58,Snapshot,1932,Cleveland,68,36,112,40,16,0,0,Inactive,Activate,QS 5,Sell
RF,Keith Moreland,64,Snapshot,1985,Chicago Cubs,82,68,72,56,52,0,0,Inactive,Activate,QS 25,Sell
3B,Christopher Morel,75,2024 MLB,2024,Chicago Cubs,62,89,71,64,701,0,2,Inactive,Activate,Locked,
RP,Adrian Morejon,52,2024 MLB,2024,San Diego Padres,72,66,73,23,8,0,2,Inactive,Activate,Locked,
SP,Jake Mooty,57,UnH,1940,Chicago Cubs,54,71,53,92,23,0,0,Inactive,Activate,QS 5,Sell
SP,Mike Moore,77,All-Star,1989,Oakland Athletics,70,88,53,77,229,0,0,Reserve,Deactivate,QS 100,Sell
SP,Matt Moore,61,All-Star,2013,Tampa Bay Rays,71,82,28,58,54,0,0,Inactive,Activate,QS 25,Sell
RP,Matt Moore,64,2024 MLB,2024,Los Angeles Angels,81,69,75,21,56,0,2,Inactive,Activate,Locked,
SS,Dylan Moore,78,2024 MLB,2024,Seattle Mariners,63,76,79,55,299,0,2,Reserve,Deactivate,QS 100,Sell
SP,Mike Montgomery,53,Snapshot,2018,Chicago Cubs,36,78,72,55,18,0,0,Inactive,Activate,QS 5,Sell
RP,Rafael Montero,59,2024 MLB,2024,Houston Astros,84,71,67,17,9,0,2,Inactive,Activate,Locked,
DH,Elehuris Montero,60,2024 MLB,2024,Colorado Rockies,68,80,61,-,62,0,2,Inactive,Activate,Locked,
RF,Mickey Moniak,71,2024 MLB,2024,Los Angeles Angels,69,77,53,83,582,0,2,Inactive,Activate,Locked,
3B,Yoan Moncada,78,2024 MLB,2024,Chicago White Sox,77,70,74,68,253,0,2,Reserve,Deactivate,QS 100,Sell
SS,Andruw Monasterio,68,2024 MLB,2024,Milwaukee Brewers,71,35,77,58,48,0,2,Inactive,Activate,Locked,
2B,Paul Molitor,82,SE,1979,Milwaukee Brewers,108,41,66,63,1 214,0,0,Active,Deactivate,QS 1 000,Sell
1B,Paul Molitor,74,HaH,1996,Minnesota Twins,108,35,55,49,381,0,0,Reserve,Deactivate,QS 100,Sell
RF,Danny Moeller,70,UnH,1912,Washington Senators,59,78,75,106,264,0,0,Inactive,Activate,QS 100,Sell
RP,Carmen Mlodzinski,65,2024 MLB,2024,Pittsburgh Pirates,82,74,63,21,57,0,2,Inactive,Activate,Locked,
LF,Dale Mitchell,73,RS,1947,Cleveland,104,12,46,83,1 555,0,1,Inactive,Activate,QS 100,Sell
3B,Jose Miranda,69,2024 MLB,2024,Minnesota Twins,77,65,59,54,60,0,2,Inactive,Activate,Locked,
SP,Mike Mimbs,57,RS,1995,Philadelphia Phillies,54,87,34,54,13,0,0,Inactive,Activate,QS 5,Sell
RP,Hoby Milner,83,2024 MLB,2024,Milwaukee Brewers,74,88,86,16,2 533,0,2,Active,Deactivate,Locked,
RP,Shelby Miller,63,2024 MLB,2024,Detroit Tigers,82,73,64,23,67,0,2,Inactive,Activate,Locked,
2B,Owen Miller,62,2024 MLB,2024,Milwaukee Brewers,65,51,58,76,48,0,2,Inactive,Activate,Locked,
SP,John Miller,40,UnH,1965,Baltimore Orioles,74,93,12,68,125,0,1,Inactive,Activate,Locked,
SP,Cyclone Miller,59,RS,1886,Philadelphia Athletics,70,71,55,114,25,0,0,Inactive,Activate,QS 5,Sell
SP,Bryce Miller,80,2024 MLB,2024,Seattle Mariners,75,72,92,54,2 972,0,2,Inactive,Activate,Locked,
CL,Andrew Miller,100,HaH,2015,New York Yankees,152,95,61,13,44 300,0,0,Active,Deactivate,QS 20K,Sell
SP,Miles Mikolas,75,2024 MLB,2024,St. Louis Cardinals,70,76,102,87,693,0,2,Reserve,Deactivate,Locked,
RP,Gary Mielke,40,RS,1989,Texas Rangers,50,72,46,14,18,0,0,Inactive,Activate,QS 5,Sell
RP,Keynan Middleton,66,2024 MLB,2024,St. Louis Cardinals,101,69,72,19,43,0,2,Inactive,Activate,Locked,
CF,Jake Meyers,72,2024 MLB,2024,Houston Astros,67,71,66,86,602,0,2,Reserve,Deactivate,Locked,
RF,Bob Meusel,59,Snapshot,1921,New York Yankees,58,105,57,70,62,0,0,Inactive,Activate,QS 5,Sell
LF,Alex Metzler,62,UnH,1928,Chicago White Sox,75,35,105,57,46,0,0,Inactive,Activate,QS 25,Sell
1B,Matt Mervis,61,2024 MLB,2024,Chicago Cubs,66,83,71,65,45,0,2,Inactive,Activate,Locked,
SS,Lennie Merullo,44,RS,1942,Chicago Cubs,68,32,61,54,20,0,0,Inactive,Activate,QS 5,Sell
RP,Julian Merryweather,57,2024 MLB,2024,Chicago Cubs,116,67,62,23,9,0,2,Inactive,Activate,Locked,
2B,Whit Merrifield,63,2024 MLB,2024,Philadelphia Phillies,72,39,60,67,53,0,2,Inactive,Activate,Locked,
1B,Joey Meneses,59,2024 MLB,2024,Washington Nationals,73,74,60,53,11,0,2,Inactive,Activate,Locked,
3B,Danny Mendick,51,2024 MLB,2024,Chicago White Sox,68,45,69,66,8,0,2,Inactive,Activate,Locked,
LF,MJ Melendez,66,2024 MLB,2024,Kansas City Royals,62,81,78,68,74,0,2,Inactive,Activate,Locked,
C,Francisco Mejia,65,2024 MLB,2024,Tampa Bay Rays,70,64,52,52,46,0,2,Inactive,Activate,QS 25,Sell
SP,Tylor Megill,49,2024 MLB,2024,New York Mets,66,61,74,51,12,0,2,Inactive,Activate,Locked,
RP,Trevor Megill,63,2024 MLB,2024,Milwaukee Brewers,122,62,74,18,62,0,2,Inactive,Activate,Locked,
RP,Nick Mears,41,2024 MLB,2024,Colorado Rockies,92,67,42,15,9,0,2,Inactive,Activate,Locked,
SS,Pat Meares,49,UnH,1995,Minnesota Twins,61,71,55,55,15,0,0,Inactive,Activate,QS 5,Sell
CF,Parker Meadows,69,2024 MLB,2024,Detroit Tigers,62,64,70,92,48,0,2,Inactive,Activate,Locked,
SP,John McMullin,40,RS,1871,Troy Haymakers,50,47,33,114,21,0,0,Inactive,Activate,QS 5,Sell
3B,Ken McMullen,44,Snapshot,1966,Washington Senators,57,73,73,63,39,0,0,Inactive,Activate,QS 5,Sell
3B,Ryan McMahon,78,2024 MLB,2024,Colorado Rockies,64,79,79,82,371,0,2,Inactive,Activate,Locked,
2B,Matt McLain,91,2024 MLB,2024,Cincinnati Reds,75,77,80,79,4 674,0,2,Reserve,Deactivate,QS 4 000,Sell
2B,Zach McKinstry,61,2024 MLB,2024,Detroit Tigers,64,56,71,70,71,0,2,Inactive,Activate,Locked,
SP,Limb McKenry,57,RS,1915,Cincinnati Reds,43,75,66,91,24,0,0,Inactive,Activate,QS 5,Sell
CF,Ryan McKenna,59,2024 MLB,2024,Baltimore Orioles,60,58,74,70,10,0,2,Inactive,Activate,Locked,
C,Reese McGuire,62,2024 MLB,2024,Boston Red Sox,68,19,62,77,44,0,2,Inactive,Activate,Locked,
CL,Scott McGough,56,2024 MLB,2024,Arizona Diamondbacks,82,69,71,16,10,0,2,Inactive,Activate,Locked,
LF,Joe McEwing,70,SE,2001,New York Mets,79,59,59,79,304,0,0,Inactive,Activate,QS 100,Sell
SP,Jack McDowell,79,SE,1991,Chicago White Sox,76,74,77,80,500,0,0,Reserve,Deactivate,QS 100,Sell
SP,Jack McDowell,65,Snapshot,1990,Chicago White Sox,79,72,57,69,75,0,0,Inactive,Activate,QS 25,Sell
SP,Lindy McDaniel,59,HaH,1959,St. Louis Cardinals,62,60,78,55,19,0,0,Inactive,Activate,QS 5,Sell
DH,Andrew McCutchen,62,2024 MLB,2024,Pittsburgh Pirates,64,69,97,-,81,0,2,Inactive,Activate,Locked,
CF,Tom McCreery,42,UnH,1898,Pittsburgh Pirates,53,85,97,57,26,0,0,Inactive,Activate,QS 5,Sell
CF,Quinton McCracken,53,RS,1996,Colorado Rockies,72,28,75,50,16,0,0,Inactive,Activate,QS 5,Sell
2B,Amby McConnell,58,RS,1908,Boston Red Sox,76,72,68,46,23,0,0,Inactive,Activate,QS 5,Sell
RF,Jake McCarthy,76,2024 MLB,2024,Arizona Diamondbacks,74,45,66,80,306,0,2,Inactive,Activate,Locked,
C,James McCann,48,2024 MLB,2024,Baltimore Orioles,64,55,59,61,11,0,2,Inactive,Activate,Locked,
C,James McCann,57,Snapshot,2017,Detroit Tigers,60,71,71,66,32,0,0,Inactive,Activate,QS 5,Sell
2B,Dick McAuliffe,62,All-Star,1967,Detroit Tigers,53,85,123,63,210,0,1,Inactive,Activate,QS 25,Sell
RP,James McArthur,52,2024 MLB,2024,Kansas City Royals,74,70,70,31,11,0,2,Inactive,Activate,Locked,
1B,Lee May,84,Peak,1971,Cincinnati Reds,70,103,60,86,1 641,0,0,Reserve,Deactivate,QS 1 000,Sell
SP,Steven Matz,69,2024 MLB,2024,St. Louis Cardinals,81,69,85,60,40,0,2,Inactive,Activate,Locked,
SS,Kazuo Matsui,69,RS,2004,New York Mets,83,37,62,54,536,0,1,Inactive,Activate,QS 25,Sell
3B,Nick Maton,54,2024 MLB,2024,Baltimore Orioles,60,55,85,66,9,0,2,Inactive,Activate,Locked,
SP,Bobby Mathews,85,HaH,1884,Philadelphia Athletics,76,74,102,113,2 158,0,0,Reserve,Deactivate,QS 1 000,Sell
SS,Jorge Mateo,64,2024 MLB,2024,Baltimore Orioles,62,51,56,76,70,0,2,Inactive,Activate,Locked,
2B,Miles Mastrobuoni,66,2024 MLB,2024,Chicago Cubs,74,29,77,72,58,0,2,Inactive,Activate,Locked,
2B,Michael Massey,68,2024 MLB,2024,Kansas City Royals,70,74,58,70,61,0,2,Inactive,Activate,Locked,
SS,Jim Mason,41,UnH,1974,New York Yankees,61,45,65,55,35,0,0,Inactive,Activate,QS 5,Sell
LF,Nick Martini,65,2024 MLB,2024,Cincinnati Reds,65,69,81,73,51,0,2,Inactive,Activate,Locked,
RP,Seth Martinez,60,2024 MLB,2024,Houston Astros,79,71,71,23,47,0,2,Inactive,Activate,Locked,
RP,Nick Martinez,68,2024 MLB,2024,Cincinnati Reds,81,70,76,41,58,0,2,Inactive,Activate,Locked,
RP,Justin Martinez,41,2024 MLB,2024,Arizona Diamondbacks,106,72,23,16,9,0,2,Inactive,Activate,Locked,
1B,Edgar Martinez,95,SE,1996,Seattle Mariners,89,84,135,52,8 425,0,0,Active,Deactivate,QS 4 000,Sell
3B,Carlos Martinez,54,RS,1989,Chicago White Sox,78,47,54,51,30,0,0,Inactive,Activate,QS 5,Sell
3B,Carlos Martinez,54,RS,1989,Chicago White Sox,78,47,54,51,30,0,0,Inactive,Activate,QS 5,Sell
SP,Adrian Martinez,55,2024 MLB,2024,Oakland Athletics,60,70,79,51,10,0,2,Inactive,Activate,Locked,
RP,Yunior Marte,52,2024 MLB,2024,Philadelphia Phillies,78,69,67,22,10,0,2,Inactive,Activate,Locked,
RF,Starling Marte,84,2024 MLB,2024,New York Mets,83,60,60,72,2 207,0,2,Inactive,Activate,QS 1 000,Sell
SP,Alec Marsh,59,2024 MLB,2024,Kansas City Royals,85,70,67,53,12,0,2,Inactive,Activate,Locked,
RF,Cade Marlowe,62,2024 MLB,2024,Seattle Mariners,63,64,67,82,51,0,2,Inactive,Activate,Locked,
CF,Roger Maris,40,RS,1957,Cleveland,49,81,100,57,60,0,0,Inactive,Activate,QS 5,Sell
SS,Marty Marion,63,All-Star,1946,St. Louis Cardinals,56,35,74,94,91,0,0,Inactive,Activate,QS 25,Sell
RP,Ron Marinaccio,53,2024 MLB,2024,New York Yankees,100,72,54,23,9,0,2,Inactive,Activate,QS 5,Sell
RF,Manuel Margot,78,2024 MLB,2024,Minnesota Twins,76,51,63,92,461,0,2,Reserve,Deactivate,QS 100,Sell
RF,Cliff Mapes,42,Snapshot,1951,St. Louis Browns,54,83,77,47,16,0,0,Inactive,Activate,QS 5,Sell
C,Kirt Manwaring,62,UnH,1992,San Francisco Giants,63,39,72,73,34,0,0,Inactive,Activate,QS 25,Sell
3B,Jeff Manto,46,Snapshot,1995,Baltimore Orioles,48,96,74,66,17,0,0,Inactive,Activate,QS 5,Sell
3B,Jeff Manto,46,Snapshot,1995,Baltimore Orioles,48,96,74,66,17,0,0,Inactive,Activate,QS 5,Sell
3B,Jeff Manto,46,Snapshot,1995,Baltimore Orioles,48,96,74,66,17,0,0,Inactive,Activate,QS 5,Sell
RP,Joe Mantiply,65,2024 MLB,2024,Arizona Diamondbacks,64,74,87,13,63,0,2,Inactive,Activate,Locked,
SP,Alek Manoah,76,2024 MLB,2024,Toronto Blue Jays,76,76,77,72,627,0,2,Reserve,Deactivate,Locked,
CF,Pepe Mangual,44,Snapshot,1975,Montreal Expos,56,64,93,64,18,0,0,Inactive,Activate,QS 5,Sell
CF,Pepe Mangual,44,Snapshot,1975,Montreal Expos,56,64,93,64,18,0,0,Inactive,Activate,QS 5,Sell
